Store,POG,POGName,POGDescription,Aisle,Side,Sequence
214,8386814,D701_L00000_D03_C165_V681_F004_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Left,1
215,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),591 COSMETICS 1,Right,3
218,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Left,2
220,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),48,Right,2
224,8386828,D701_L00000_D03_C165_V682_F012_MX,HP 84IN HAIR CARE ACCESSORIES (FM) ALASKA,22,Right,3
225,8386820,D701_L00000_D03_C165_V681_F009_MX,HP 72IN HAIR CARE ACCESSORIES (FM),15,Left,1
226,8386823,D701_L00000_D03_C165_V681_F011_MX,HP 72IN HAIR CARE ACCESSORIES (FM),52,Left,5
227,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),19,Right,8
236,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),45,Left,5
240,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Left,6
242,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),33,Left,1
255,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),32,Left,1
260,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Left,1
265,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),60,Left,4
281,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),18,Right,9
285,8386822,D701_L00000_D03_C165_V681_F010_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,6
286,8386830,D701_L00286_D03_C165_V681_F010_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,4
325,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),19,Right,3
328,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),20,Left,8
351,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),19,Right,4
355,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Right,1
360,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),46,Left,1
372,8386814,D701_L00000_D03_C165_V681_F004_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Left,4
375,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),551 KPNR 1,Right,9
377,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,7
383,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),27,Right,5
390,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),33,Right,1
